PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
TP-TEST-POINT	D17	1206-DIO	2	Bottom	90	1401,283	1688,503	Yes	No
TP-TEST-POINT	D18	SOD-123	2	Bottom	90	2716,535	2268,504	Yes	No
TP-TEST-POINT	D19	SOD-123	2	Bottom	90	2714,567	2584,252	Yes	No
TP-TEST-POINT	D24	DO-214AC	2	Bottom	270	192,808	1000,216	Yes	No
TP-TEST-POINT	DZ1	SOD-123	2	Bottom	90	2473,228	2174,016	Yes	No
TP-TEST-POINT	DZ6	SOD-123	2	Bottom	90	1194,86	938,728	Yes	No
TP-TEST-POINT	DZ14	SOD-123	2	Bottom	90	1938,163	2026,329	Yes	No
TP-TEST-POINT	EMLE	TEST-POINT-ICT-TH	1	Top	180	4140,945	1152,165	No	No
TP-TEST-POINT	F1	FIDUCIAL	1	Bottom	0	3925,984	85,827	Yes	No
TP-TEST-POINT	F2	FIDUCIAL	1	Bottom	0	76,22	2705,748	Yes	No
TP-TEST-POINT	F3	FIDUCIAL	1	Bottom	0	3829,808	2922,828	Yes	No
TP-TEST-POINT	GND	TEST-POINT-ICT-TH	1	Top	180	4213,78	842,126	No	No
TP-TEST-POINT	ISO2	SOP-4	4	Bottom	270	512,829	1083,74	Yes	No
TP-TEST-POINT	J1	HEAD-KP-MOLEX-1.25PCM-RA-8WAY	8	Bottom	270	3582,68	358,66	No	Yes
TP-TEST-POINT	J2	HEADER-4_2.54	4	Top	180	976,1	933,29	No	Yes
TP-TEST-POINT	J3	HEADER-2_3.96_UPRIGHT_LOCK	3	Bottom	180	433,071	2696,85	No	No
TP-TEST-POINT	J4	HEADER-4_2.54	4	Bottom	0	1212,992	625,984	No	Yes
TP-TEST-POINT	J6	SIP-5P	5	Bottom	90	4336,614	771,654	No	No
TZ-400MW-5%-P6KE36CA	J7	CON_BOT_ENTRY_SMD_7WAY	14	Bottom	0	2795,276	671,26	Yes	No
R5F101_GN_DFB	L1	L-IND-SMD-SHIELDED	2	Bottom	180	1013	1174,8	Yes	No
U-TPS76033	L2	1812	2	Bottom	180	3187,402	2969,291	Yes	No
U-SMD-24LC08	L3	1812	2	Bottom	180	2419,685	2969,291	Yes	No
LMV393	L4	XFRMR-7.6X7.6	4	Bottom	270	2007,874	1307,087	Yes	No
CON-WIRE	L5	1812	2	Bottom	90	2802,76	2907,05	Yes	No
CON-WIRE	L6	L-IND-1MH-SDR1006-102KL	2	Bottom	180	1848,876	2688,98	Yes	No
CON-WIRE	L7	L-IND-18UH-SDR0805-180ML	2	Bottom	0	935,433	2559,055	Yes	No
